stem,seq,frame_idx,n_gt,n_pred_10_super,mean_conf_10_super,n_pred_25_super,mean_conf_25_super,n_pred_50_super,mean_conf_50_super,n_pred_75_super,mean_conf_75_super,top10_mean_conf_super,n_pred_all_super,mean_conf_all_super,n_pred_10_base,mean_conf_10_base,n_pred_25_base,mean_conf_25_base,n_pred_50_base,mean_conf_50_base,n_pred_75_base,mean_conf_75_base,top10_mean_conf_base,n_pred_all_base,mean_conf_all_base,ap5095_super,ap5095_base
0000_000017,0000,17,3,7,0.41881266236305237,4,0.6208720207214355,3,0.6818028688430786,1,0.8078374266624451,0.3188084065914154,100,0.03951758146286011,10,0.32994571328163147,4,0.5988267064094543,3,0.6826351881027222,1,0.8214629292488098,0.32994571328163147,117,0.03691277652978897,0.2994886364154518,0.2994130435092374
0000_000018,0000,18,3,6,0.46234917640686035,5,0.5273440480232239,3,0.6698629260063171,1,0.8074054718017578,0.3094051480293274,138,0.03240956366062164,9,0.35288184881210327,5,0.49790069460868835,2,0.730560302734375,1,0.8188722133636475,0.32660189270973206,165,0.03269941732287407,0.22612500001257282,0.22487500001583247
0000_000019,0000,19,3,6,0.49718624353408813,5,0.5538761019706726,3,0.6485806703567505,0,nan,0.32289761304855347,121,0.03416900336742401,8,0.4169616997241974,4,0.6114469170570374,3,0.6742701530456543,0,nan,0.3523275852203369,121,0.04110447317361832,0.2994500000411645,0.2992211539009586
0000_000020,0000,20,3,5,0.4523944854736328,3,0.6398287415504456,2,0.7138020396232605,1,0.8135490417480469,0.26294225454330444,104,0.03330306336283684,9,0.34463265538215637,4,0.6030367612838745,3,0.6920100450515747,2,0.7770067453384399,0.31962963938713074,135,0.03703541308641434,0.2195000003511086,0.20931250015390104
0000_000021,0000,21,3,9,0.4057662785053253,6,0.5311623215675354,3,0.7568157911300659,2,0.7884507179260254,0.3747556805610657,105,0.04697571322321892,15,0.31891074776649475,6,0.5524420738220215,3,0.7253766059875488,1,0.7907417416572571,0.414844810962677,157,0.04265904426574707,0.29039717437094076,0.3057316732578911
0000_000022,0000,22,3,8,0.4278402328491211,6,0.5263854265213013,3,0.7505304217338562,1,0.817404568195343,0.36102357506752014,107,0.04527547210454941,11,0.3548632860183716,6,0.5423840284347534,3,0.7140750885009766,1,0.7917832136154175,0.3800857961177826,148,0.03861495479941368,0.3044861111612991,0.3237159091196954
0000_000023,0000,23,3,8,0.3952484428882599,5,0.5442923903465271,3,0.6813446879386902,1,0.8240525722503662,0.3340688943862915,113,0.04169083014130592,12,0.32665500044822693,5,0.5661119818687439,3,0.6896290183067322,1,0.8133151531219482,0.3681669235229492,136,0.04527466371655464,0.22472844826849178,0.19967213105410336
0000_000024,0000,24,3,11,0.3497564494609833,7,0.4587332010269165,3,0.6391181945800781,1,0.8212740421295166,0.37247127294540405,115,0.04334081709384918,14,0.3159077763557434,6,0.513792872428894,3,0.6442351937294006,1,0.8210766315460205,0.38901421427726746,142,0.042357832193374634,0.2639305561603978,0.249509549383074
0000_000025,0000,25,3,12,0.3129914104938507,5,0.5269989371299744,2,0.7013579607009888,1,0.8135821223258972,0.35153788328170776,111,0.04784189909696579,18,0.25759080052375793,6,0.4676886796951294,2,0.6595414876937866,1,0.8101873993873596,0.36616164445877075,122,0.050657570362091064,0.22922596203116696,0.21030642369389535
0000_000026,0000,26,3,7,0.38749030232429504,4,0.57844078540802,3,0.6875534057617188,1,0.836281955242157,0.29806628823280334,121,0.036452241241931915,13,0.271656334400177,4,0.5904990434646606,3,0.7003020644187927,1,0.8116669654846191,0.32248789072036743,128,0.04231487959623337,0.23918042713217438,0.2540921057201922
0000_000027,0000,27,3,11,0.3052321672439575,5,0.4756421148777008,2,0.7327470779418945,1,0.8174880146980286,0.32438111305236816,134,0.03507548198103905,9,0.35819879174232483,6,0.4662409722805023,2,0.7271685600280762,1,0.8152164220809937,0.33227381110191345,136,0.0365486666560173,0.24898387130349872,0.27870246521569786
0000_000028,0000,28,3,13,0.3319515287876129,6,0.5212864875793457,2,0.7429210543632507,1,0.8102225661277771,0.3948138654232025,156,0.039430275559425354,14,0.3198058009147644,7,0.47870707511901855,2,0.7340927720069885,1,0.803530216217041,0.39548519253730774,164,0.0416976734995842,0.2652012831075117,0.2676202011406422
0000_000029,0000,29,3,8,0.3420032262802124,4,0.5228676199913025,2,0.6997519135475159,1,0.7923417091369629,0.28742700815200806,117,0.034320004284381866,11,0.28718212246894836,4,0.4910948872566223,2,0.6702037453651428,1,0.8023744225502014,0.3058686852455139,132,0.03703770413994789,0.23551666750572617,0.21081912288628518
0000_000030,0000,30,3,10,0.3269493579864502,7,0.39710208773612976,2,0.6754900217056274,1,0.7560878396034241,0.3269493579864502,137,0.03630911558866501,13,0.29561206698417664,8,0.38130491971969604,1,0.7698513269424438,1,0.7698513269424438,0.3468128442764282,135,0.040326546877622604,0.27723365402268246,0.26675438729859896
0000_000031,0000,31,3,9,0.3572026491165161,5,0.5029640197753906,2,0.6491711139678955,1,0.7822920083999634,0.3298281133174896,139,0.032730165868997574,13,0.336926132440567,7,0.4647408127784729,2,0.6981287002563477,1,0.7932198643684387,0.3899162709712982,131,0.04408843442797661,0.25112415119074283,0.25139473837614057
0000_000032,0000,32,3,11,0.2533908486366272,3,0.5306828022003174,1,0.7870154976844788,1,0.7870154976844788,0.2669599652290344,130,0.030965184792876244,12,0.31010186672210693,6,0.44828182458877563,2,0.7087039947509766,1,0.7777031064033508,0.34944280982017517,151,0.037265416234731674,0.2987750008115545,0.31202386407600713
0000_000033,0000,33,3,10,0.2811258137226105,3,0.5689641237258911,2,0.7105779647827148,1,0.8042153120040894,0.2811258137226105,118,0.032129984349012375,12,0.2894313931465149,4,0.5459152460098267,2,0.7642070055007935,1,0.8202155232429504,0.3224810063838959,124,0.03797179460525513,0.2660942983822897,0.20673660750966522
0000_000034,0000,34,3,5,0.4242575764656067,3,0.6087971925735474,2,0.7374616861343384,1,0.7947849035263062,0.24939599633216858,109,0.029840543866157532,12,0.2673221826553345,3,0.6287156939506531,2,0.7168508768081665,1,0.791663646697998,0.2994086444377899,115,0.04115443676710129,0.20091428573057052,0.19996153853461146
0000_000035,0000,35,3,7,0.31266164779663086,3,0.5672388076782227,2,0.6811805367469788,0,nan,0.2463383674621582,121,0.027712471783161163,10,0.2910981774330139,4,0.4908446967601776,2,0.7263718843460083,0,nan,0.2910981774330139,130,0.033126626163721085,0.20129032248258588,0.1753750000395812
0000_000036,0000,36,3,11,0.25782135128974915,4,0.4714835286140442,1,0.8242774605751038,1,0.8242774605751038,0.27282029390335083,110,0.03498775511980057,11,0.2754785120487213,3,0.565153956413269,2,0.6824475526809692,1,0.8235793709754944,0.2900472581386566,130,0.03376200050115585,0.2521212122887373,0.2751686046412215
0000_000037,0000,37,3,11,0.23771309852600098,3,0.47142574191093445,1,0.704311728477478,0,nan,0.24923644959926605,142,0.030695844441652298,10,0.2655712068080902,3,0.45516908168792725,1,0.6998372673988342,0,nan,0.2655712068080902,140,0.0346989706158638,0.266291667226702,0.2595000002197921
0000_000038,0000,38,3,7,0.3235107362270355,3,0.5179868936538696,1,0.7988287806510925,1,0.7988287806510925,0.25031065940856934,128,0.02871733158826828,10,0.2702743411064148,4,0.45550990104675293,1,0.8070952296257019,1,0.8070952296257019,0.2702743411064148,149,0.0319683775305748,0.2868593750554137,0.26719348474219445
0000_000039,0000,39,3,9,0.2876826226711273,4,0.4851376414299011,1,0.7003828883171082,0,nan,0.2668434977531433,148,0.027256757020950317,10,0.2681026756763458,4,0.4602620005607605,2,0.5964982509613037,0,nan,0.2681026756763458,150,0.030245915055274963,0.23877040837612,0.23776339350594214
0000_000040,0000,40,3,8,0.2817661762237549,3,0.5208856463432312,2,0.6415842771530151,1,0.780934751033783,0.2416631281375885,129,0.02980200946331024,11,0.25267037749290466,4,0.44731539487838745,1,0.7895718812942505,1,0.7895718812942505,0.2667235732078552,159,0.031657569110393524,0.21697564254095777,0.25458098309487104
0000_000041,0000,41,3,15,0.2377690076828003,5,0.37912505865097046,1,0.5747829079627991,0,nan,0.2889198958873749,147,0.03590495511889458,10,0.2633756697177887,5,0.3729921579360962,1,0.614145040512085,0,nan,0.2633756697177887,149,0.03411666303873062,0.3991593249663711,0.21248077024519438
0000_000042,0000,42,3,12,0.28318530321121216,5,0.47262144088745117,2,0.6619266271591187,1,0.7842283844947815,0.3166138231754303,160,0.033099766820669174,18,0.20782585442066193,4,0.4688994586467743,1,0.7710103988647461,1,0.7710103988647461,0.2856910824775696,174,0.03411077708005905,0.3983360655270517,0.37336413044855
0000_000043,0000,43,3,11,0.30363190174102783,6,0.43400806188583374,1,0.6964311599731445,0,nan,0.32274356484413147,174,0.0316336527466774,11,0.2857646048069,5,0.4363096356391907,1,0.6888608336448669,0,nan,0.30291175842285156,190,0.02937339060008526,0.3247306814305484,0.31510585636924954
0000_000044,0000,44,3,10,0.3166821002960205,4,0.5672560930252075,3,0.6666895747184753,1,0.7532259821891785,0.3166821002960205,116,0.038458459079265594,11,0.30797407031059265,4,0.5634708404541016,3,0.655753493309021,0,nan,0.3269190490245819,154,0.034847524017095566,0.4106201923168264,0.279627798503032
0000_000045,0000,45,3,13,0.3792455196380615,7,0.5587562322616577,5,0.6417441964149475,1,0.7638299465179443,0.45516759157180786,132,0.0483078695833683,15,0.3225467801094055,7,0.4783773720264435,3,0.6502920985221863,0,nan,0.40093573927879333,154,0.04271383956074715,0.25626990660745647,0.28330623876955363
0000_000046,0000,46,3,9,0.44667235016822815,5,0.6479932069778442,5,0.6479932069778442,0,nan,0.41190630197525024,124,0.04327131807804108,10,0.3963756263256073,7,0.5010149478912354,4,0.6187716126441956,0,nan,0.3963756263256073,157,0.038122184574604034,0.15034374999999997,0.1790987095455639
0000_000047,0000,47,3,12,0.395785927772522,7,0.541787326335907,3,0.7146603465080261,1,0.7604576945304871,0.4438372254371643,133,0.04597702622413635,11,0.3458883762359619,5,0.5817893147468567,4,0.6347280740737915,0,nan,0.3697187006473541,157,0.036934297531843185,0.13684482907550408,0.2710711545541417
0000_000048,0000,48,3,15,0.2668206989765167,7,0.42303869128227234,2,0.596368670463562,0,nan,0.3439166247844696,135,0.042228613048791885,18,0.24663697183132172,8,0.36122119426727295,1,0.6504870653152466,0,nan,0.3321537375450134,153,0.04374879226088524,0.3252142907753586,0.40611041765986017
0000_000049,0000,49,3,13,0.3297916352748871,6,0.504338264465332,3,0.6688340902328491,0,nan,0.39009061455726624,139,0.041960157454013824,13,0.30335646867752075,6,0.4917543828487396,2,0.7220944166183472,0,nan,0.36232811212539673,162,0.0364561602473259,0.34808117181109266,0.39806097559817133
0000_000050,0000,50,3,12,0.3718068599700928,7,0.5271011590957642,3,0.6631145477294922,0,nan,0.4249878525733948,137,0.04757246375083923,13,0.3064138889312744,6,0.4957296848297119,2,0.6674858331680298,0,nan,0.36435094475746155,147,0.042696744203567505,0.3485125037510879,0.26538060047803447
0000_000051,0000,51,3,9,0.4043850898742676,6,0.5278409123420715,3,0.6687499284744263,1,0.775303065776825,0.371996134519577,135,0.04056822508573532,13,0.35938453674316406,6,0.5644913911819458,5,0.6259152889251709,0,nan,0.4274774193763733,154,0.04533933475613594,0.3401291738427243,0.3354044890410733
0000_000052,0000,52,3,12,0.338509202003479,5,0.6162713170051575,4,0.686578094959259,0,nan,0.38412028551101685,106,0.05145503953099251,14,0.36170142889022827,8,0.5002545714378357,4,0.6411434412002563,0,nan,0.4465354382991791,124,0.05544401332736015,0.31492167013790456,0.2653333412408828
0000_000053,0000,53,3,11,0.34287017583847046,6,0.5265432596206665,4,0.6351705193519592,1,0.7569031715393066,0.36708977818489075,98,0.048640307039022446,13,0.32050320506095886,5,0.5934609770774841,4,0.6728794574737549,1,0.7511484622955322,0.37841954827308655,120,0.04843226447701454,0.3111462854831478,0.3276820254530756
0000_000054,0000,54,3,7,0.49966371059417725,6,0.561565637588501,3,0.7568037509918213,2,0.7614803314208984,0.3701658248901367,98,0.043676670640707016,10,0.3825065791606903,5,0.6250644326210022,4,0.6867798566818237,1,0.7741816639900208,0.3825065791606903,129,0.03955335170030594,0.2985312529960647,0.253443915226031
0000_000055,0000,55,3,10,0.4096260666847229,6,0.5556979179382324,3,0.7473413348197937,2,0.7915425300598145,0.4096260666847229,138,0.04205409064888954,12,0.3756346106529236,7,0.5316948890686035,3,0.7340230941772461,2,0.76688551902771,0.4285363256931305,143,0.04625440761446953,0.3652976196119561,0.4109423077029642
0000_000056,0000,56,3,4,0.6338041424751282,4,0.6338041424751282,4,0.6338041424751282,1,0.7754020690917969,0.2933880388736725,105,0.03579756245017052,12,0.3359644412994385,4,0.6903573274612427,4,0.6903573274612427,0,nan,0.38164570927619934,103,0.054123327136039734,0.31566666870657345,0.21436795302014794
0000_000057,0000,57,3,10,0.38783979415893555,5,0.6176483035087585,3,0.7719419002532959,2,0.7872164845466614,0.38783979415893555,83,0.0582151897251606,13,0.3875805139541626,8,0.5235960483551025,4,0.7370114326477051,3,0.7715295553207397,0.46422863006591797,117,0.053048525005578995,0.44817667406611134,0.2737794953330885
0000_000058,0000,58,3,11,0.3695765435695648,6,0.5554518103599548,4,0.6727326512336731,1,0.776585042476654,0.3954698443412781,109,0.04565137252211571,9,0.4586655795574188,6,0.6059069633483887,4,0.6988682746887207,0,nan,0.4222891926765442,101,0.053979188203811646,0.31903869148995734,0.33821363694500167
0000_000059,0000,59,3,5,0.45139646530151367,4,0.5137070417404175,2,0.6855868101119995,1,0.7956863045692444,0.2600278854370117,94,0.036939166486263275,9,0.38144996762275696,5,0.5509307980537415,2,0.7455718517303467,1,0.7915061712265015,0.3525300621986389,111,0.0475752130150795,0.3733125000020955,0.2816405632309616
0000_000060,0000,60,3,9,0.3691982328891754,4,0.6374310255050659,3,0.7538788318634033,2,0.8147482872009277,0.33975091576576233,92,0.043723948299884796,8,0.4529018998146057,6,0.5524334907531738,3,0.7884105443954468,2,0.8246458768844604,0.37859994173049927,107,0.04540550708770752,0.3505277779847384,0.3257866805493832
0000_000061,0000,61,3,6,0.47890084981918335,3,0.7674242854118347,3,0.7674242854118347,2,0.8093948364257812,0.32367071509361267,108,0.03581438213586807,8,0.3978032171726227,4,0.6475476026535034,3,0.7748866081237793,2,0.8063523769378662,0.333400696516037,107,0.03937448561191559,0.422959016381763,0.3981973684243858
0000_000062,0000,62,3,4,0.6034384369850159,3,0.7691723704338074,3,0.7691723704338074,2,0.8118506073951721,0.27019572257995605,97,0.03396523371338844,5,0.5030269622802734,3,0.7426681518554688,3,0.7426681518554688,1,0.7917534708976746,0.2931899130344391,117,0.03597847372293472,0.3363605769504793,0.3362960526365787
0000_000063,0000,63,3,6,0.4631737172603607,4,0.6317880153656006,3,0.7410739660263062,2,0.8522313237190247,0.3021881878376007,88,0.039660390466451645,6,0.48524340987205505,4,0.6583659648895264,3,0.7839862704277039,2,0.8379514217376709,0.3139382600784302,102,0.03840528428554535,0.485807926794514,0.38615561222890393
0000_000064,0000,64,3,8,0.3833540678024292,3,0.7711400985717773,3,0.7711400985717773,2,0.8402520418167114,0.325557678937912,114,0.036501891911029816,7,0.45328646898269653,4,0.6709349155426025,3,0.7836157083511353,2,0.8229566812515259,0.33844518661499023,124,0.036229558289051056,0.3735099999886006,0.349108695672825
0000_000065,0000,65,3,8,0.4466255307197571,6,0.5478113889694214,3,0.7652462720870972,2,0.8144357204437256,0.374803751707077,100,0.045811671763658524,9,0.41607487201690674,6,0.5275839567184448,3,0.7309409379959106,2,0.8032106161117554,0.3829810619354248,108,0.045040130615234375,0.43595652175461874,0.47312195119634265
0000_000066,0000,66,3,5,0.6101963520050049,4,0.7362949252128601,4,0.7362949252128601,3,0.8146335482597351,0.32076066732406616,79,0.04588737338781357,7,0.49193865060806274,5,0.6166167259216309,3,0.7753883600234985,2,0.8270719647407532,0.3635960817337036,100,0.04350963979959488,0.47405645155161624,0.47382142858160653
0000_000067,0000,67,3,6,0.5229913592338562,5,0.5971404910087585,3,0.7348551154136658,2,0.8197808265686035,0.3439950942993164,107,0.03894773870706558,12,0.3673625886440277,7,0.5067130327224731,3,0.6933929324150085,1,0.8160799145698547,0.4113036096096039,123,0.04575178399682045,0.362145833346527,0.39912837841175497
0000_000068,0000,68,3,5,0.5065464377403259,3,0.6869036555290222,3,0.6869036555290222,2,0.7762621641159058,0.2820970118045807,113,0.032719872891902924,8,0.3725774884223938,4,0.599953830242157,3,0.7128254175186157,2,0.7980191707611084,0.315354585647583,135,0.034037888050079346,0.42365909094363446,0.38615561222890393
0000_000069,0000,69,3,6,0.4484219551086426,4,0.6190389394760132,3,0.7201840281486511,2,0.7998031377792358,0.30032089352607727,95,0.03885095939040184,11,0.38272902369499207,9,0.4387974143028259,2,0.7473899722099304,1,0.7631455659866333,0.40815019607543945,114,0.04914078116416931,0.2746666666772216,0.3238875000094995
0000_000070,0000,70,3,4,0.6370869874954224,4,0.6370869874954224,3,0.7379827499389648,1,0.8008672595024109,0.2913852632045746,104,0.034428127110004425,5,0.538567841053009,4,0.6404759883880615,3,0.7180114984512329,1,0.7953335642814636,0.3041039705276489,116,0.03648116812109947,0.29907258062064646,0.273875000001397
0000_000071,0000,71,3,6,0.4424149990081787,4,0.5907530188560486,3,0.6972821950912476,1,0.8398712277412415,0.28702160716056824,93,0.036776330322027206,8,0.3815230131149292,4,0.5923583507537842,2,0.8010753393173218,2,0.8010753393173218,0.3243687152862549,138,0.03284843638539314,0.2743750000041909,0.27420625001424914
0000_000072,0000,72,3,7,0.4591076970100403,4,0.7037746906280518,3,0.7758928537368774,2,0.8002087473869324,0.34508299827575684,117,0.037278126925230026,6,0.564281702041626,5,0.644961416721344,3,0.7719370722770691,2,0.7912651300430298,0.36756548285484314,133,0.03618276119232178,0.2989583333386108,0.27645353304594755
0000_000073,0000,73,3,9,0.35686954855918884,5,0.5344873666763306,3,0.7194855213165283,2,0.8031125664710999,0.3289884030818939,110,0.03957364335656166,8,0.39262092113494873,4,0.6449112296104431,3,0.7365436553955078,2,0.7855129241943359,0.33187136054039,126,0.03726670891046524,0.2991607143264264,0.34901999997720123
0000_000074,0000,74,3,8,0.3770357370376587,3,0.7559264898300171,3,0.7559264898300171,2,0.7836523056030273,0.319525808095932,111,0.0370352566242218,7,0.4147929549217224,3,0.7218132019042969,3,0.7218132019042969,2,0.7711980938911438,0.31027913093566895,119,0.03425198048353195,0.24874999999999997,0.22413636364787815
0000_000075,0000,75,3,7,0.4024047255516052,4,0.5665722489356995,2,0.7644083499908447,1,0.7953503131866455,0.3093903660774231,112,0.0382147952914238,13,0.27938759326934814,5,0.498654842376709,2,0.751971960067749,1,0.7809613347053528,0.3294212222099304,125,0.03959871456027031,0.2747211539009586,0.29945714286528524
0000_000076,0000,76,3,6,0.43637681007385254,3,0.6946874856948853,3,0.6946874856948853,1,0.7558721303939819,0.29804378747940063,120,0.035049282014369965,11,0.2871178686618805,5,0.4544541537761688,2,0.6783069372177124,0,nan,0.30511361360549927,135,0.03488763049244881,0.17866607166174803,0.23721774194389583
0000_000077,0000,77,3,13,0.2930534780025482,5,0.5311650037765503,3,0.6826087832450867,1,0.8005651831626892,0.34854641556739807,144,0.03850044682621956,15,0.3111115097999573,7,0.46879681944847107,3,0.6695863604545593,0,nan,0.3959101140499115,139,0.04664161801338196,0.2747211539009586,0.2500714286528528
0000_000078,0000,78,3,6,0.46937963366508484,5,0.5330695509910583,2,0.7559198141098022,1,0.8012675642967224,0.3054715096950531,140,0.031116530299186707,10,0.3456043303012848,6,0.46942561864852905,3,0.6529590487480164,1,0.7959209680557251,0.3456043303012848,146,0.03644697368144989,0.3045906863017008,0.41055454565770927
0000_000079,0000,79,3,6,0.4761279225349426,5,0.5499627590179443,2,0.7947984933853149,2,0.7947984933853149,0.31710538268089294,106,0.038476862013339996,8,0.43478700518608093,5,0.6099230647087097,3,0.7319412231445312,2,0.8002039194107056,0.3662281334400177,150,0.034087520092725754,0.2751982758538797,0.2744825581340119
0000_000080,0000,80,3,6,0.4889240264892578,5,0.5479823350906372,2,0.8091500997543335,2,0.8091500997543335,0.3147706091403961,119,0.03321278095245361,8,0.3629397749900818,4,0.5748478174209595,2,0.7918418645858765,2,0.7918418645858765,0.30815452337265015,134,0.03370552137494087,0.27759458295628436,0.2732307701702229
0000_000081,0000,81,3,8,0.35238033533096313,4,0.5344173908233643,1,0.8532531261444092,1,0.8532531261444092,0.3003760278224945,112,0.0345442071557045,7,0.37918326258659363,4,0.5294589996337891,2,0.6698398590087891,1,0.831178605556488,0.29186999797821045,141,0.030692553147673607,0.22741666734963656,0.2793166678040289
0000_000082,0000,82,3,9,0.33705487847328186,5,0.5059510469436646,2,0.6878455281257629,1,0.845967710018158,0.3129764497280121,119,0.035781219601631165,10,0.30735355615615845,4,0.5325333476066589,1,0.8143498301506042,1,0.8143498301506042,0.30735355615615845,147,0.033556487411260605,0.272039197021164,0.25464354697521774
0000_000083,0000,83,3,9,0.38191473484039307,6,0.5164377689361572,3,0.6514951586723328,1,0.8631844520568848,0.3535709083080292,122,0.041359417140483856,11,0.3065826892852783,4,0.6046817302703857,3,0.6669260859489441,1,0.844685435295105,0.32714954018592834,139,0.03686028718948364,0.276138081442099,0.17452500000712462
0000_000084,0000,84,3,8,0.33399882912635803,4,0.5468783378601074,2,0.7774264812469482,1,0.8707884550094604,0.2824755311012268,131,0.03135531023144722,8,0.345109224319458,4,0.5487102270126343,2,0.7560250759124756,1,0.8441100120544434,0.2931693494319916,147,0.030145322903990746,0.174966346217785,0.17869869401212782
0000_000085,0000,85,3,7,0.43568292260169983,4,0.6315043568611145,3,0.7045523524284363,1,0.8756808042526245,0.3332902193069458,172,0.030814148485660553,12,0.3187469244003296,5,0.5403439402580261,3,0.677041232585907,1,0.8488216996192932,0.3573703467845917,189,0.034157782793045044,0.17471311467234046,0.17619496721006
